Price,Location,Beds,Baths,Square Area,Property_Type_1.0,Property_Type_2.0,Property_Type_3.0,Property_Type_4.0,Property_Type_5.0,Property_Type_6.0
0.1566265060240964,0.9300518134715026,0.13043478260869565,0.0,0.09754601226993866,0.0,0.0,0.0,1.0,0.0,0.0
0.27710843373493976,0.48445595854922274,0.4782608695652174,0.33333333333333337,0.3042944785276074,0.0,0.0,0.0,0.0,1.0,0.0
0.04066265060240964,0.48445595854922274,0.08695652173913043,0.0,0.047239263803680986,0.0,0.0,0.0,1.0,0.0,0.0
0.02484939759036145,0.39896373056994827,0.13043478260869565,0.06666666666666667,0.052147239263803685,0.0,0.0,0.0,1.0,0.0,0.0
0.03599397590361446,0.6839378238341969,0.08695652173913043,0.13333333333333336,0.07361963190184048,0.0,1.0,0.0,0.0,0.0,0.0
0.05120481927710844,1.0,0.043478260869565216,0.06666666666666667,0.04233128834355829,0.0,1.0,0.0,0.0,0.0,0.0
0.02484939759036145,0.24352331606217614,0.08695652173913043,0.06666666666666667,0.06073619631901841,0.0,0.0,0.0,0.0,1.0,0.0
0.017319277108433735,0.25129533678756477,0.043478260869565216,0.0,0.03251533742331288,0.0,0.0,0.0,1.0,0.0,0.0
0.20180722891566266,0.4248704663212435,0.13043478260869565,0.06666666666666667,0.11595092024539877,0.0,0.0,0.0,0.0,0.0,1.0
0.06777108433734941,0.4248704663212435,0.17391304347826086,0.2,0.10306748466257669,1.0,0.0,0.0,0.0,0.0,0.0
0.07364457831325302,0.1917098445595855,0.13043478260869565,0.06666666666666667,0.07914110429447853,0.0,0.0,0.0,1.0,0.0,0.0
0.03990963855421687,0.39896373056994827,0.08695652173913043,0.0,0.054601226993865035,0.0,0.0,0.0,1.0,0.0,0.0
0.20180722891566266,1.0,0.08695652173913043,0.2,0.11717791411042945,0.0,1.0,0.0,0.0,0.0,0.0
0.020331325301204822,0.2823834196891192,0.08695652173913043,0.06666666666666667,0.05092024539877301,0.0,1.0,0.0,0.0,0.0,0.0
0.02786144578313253,0.15025906735751293,0.043478260869565216,0.0,0.033128834355828224,0.0,1.0,0.0,0.0,0.0,0.0
0.012048192771084341,0.2823834196891192,0.043478260869565216,0.06666666666666667,0.038650306748466264,0.0,1.0,0.0,0.0,0.0,0.0
0.26957831325301207,0.705958549222798,0.17391304347826086,0.26666666666666666,0.19079754601226995,0.0,0.0,0.0,0.0,0.0,1.0
0.05120481927710844,0.6839378238341969,0.08695652173913043,0.06666666666666667,0.04785276073619632,1.0,0.0,0.0,0.0,0.0,0.0
0.018825301204819275,0.4248704663212435,0.08695652173913043,0.06666666666666667,0.06441717791411043,1.0,0.0,0.0,0.0,0.0,0.0
0.02108433734939759,0.25129533678756477,0.043478260869565216,0.0,0.028220858895705525,0.0,1.0,0.0,0.0,0.0,0.0
0.04367469879518073,0.15025906735751293,0.043478260869565216,0.06666666666666667,0.038650306748466264,0.0,1.0,0.0,0.0,0.0,0.0
0.13177710843373494,0.8134715025906736,0.13043478260869565,0.13333333333333336,0.07914110429447853,0.0,0.0,0.0,0.0,0.0,1.0
0.011295180722891568,0.15025906735751293,0.0,0.0,0.02147239263803681,0.0,1.0,0.0,0.0,0.0,0.0
0.03990963855421687,0.07512953367875641,0.08695652173913043,0.06666666666666667,0.051533742331288344,0.0,0.0,0.0,0.0,0.0,1.0
0.04743975903614458,0.48445595854922274,0.08695652173913043,0.13333333333333336,0.05030674846625767,0.0,1.0,0.0,0.0,0.0,0.0
0.10768072289156627,0.3341968911917098,0.043478260869565216,0.06666666666666667,0.06380368098159508,1.0,0.0,0.0,0.0,0.0,0.0
0.06475903614457831,0.9041450777202074,0.08695652173913043,0.06666666666666667,0.051533742331288344,0.0,0.0,0.0,1.0,0.0,0.0
0.054969879518072286,0.9041450777202074,0.08695652173913043,0.0,0.0392638036809816,0.0,0.0,1.0,0.0,0.0,0.0
0.08057228915662651,0.8134715025906736,0.08695652173913043,0.0,0.06134969325153374,1.0,0.0,0.0,0.0,0.0,0.0
0.014307228915662655,0.6839378238341969,0.043478260869565216,0.06666666666666667,0.04110429447852761,0.0,1.0,0.0,0.0,0.0,0.0
0.00828313253012048,0.25129533678756477,0.0,0.0,0.022085889570552148,0.0,1.0,0.0,0.0,0.0,0.0
