Price,Address,Beds,Baths,Footage,Type
"€275,000","10 Homelawn Road, Tallaght, Dublin 24",3 Bed,1 Bath,80 m²,Terrace
"€1,500,000","17 Hermitage Close, Rathfarnham, Dublin 16",4 Bed,3 Bath,208 m²,Detached
"€795,000","33 Linden Grove, Blackrock, Co. Dublin",4 Bed,2 Bath,144 m²,Semi-D
"€450,000","53 Ashington Gardens, Ashington, Navan Road, Dublin 7",3 Bed,1 Bath,102 m²,Terrace
"€695,000","41 Seafield Crescent, Booterstown, Co. Dublin",3 Bed,2 Bath,128 m²,Semi-D
"€350,000","54 Crosforge, Co. Dublin D24PK18, Saggart, Co. Dublin",3 Bed,3 Bath,128 m²,Semi-D
"€395,000","Apt. 20 Dundrum Gate Dundrum Dublin 16, Dundrum, Dublin 16",2 Bed,2 Bath,62 m²,Apartment
"€310,000","9 Holywell Heath, Swords, Co. Dublin",2 Bed,3 Bath,N/A,Terrace
"€495,000","11 Riverwood Dale, Castleknock, Dublin 15",3 Bed,3 Bath,138 m²,Semi-D
"€270,000","21 Carrigmore Oak, Citywest, Co. Dublin",3 Bed,3 Bath,N/A,Duplex
"€375,000","6 Brookfield Road, Kilmainham, Dublin 8",2 Bed,1 Bath,91 m²,Terrace
"€995,000","2 Louvain Glade, Ardliea, Clonskeagh, Dublin 14",3 Bed,3 Bath,170 m²,Detached
"€210,000","16 Harbour View, Balbriggan, Co. Dublin",2 Bed,1 Bath,57 m²,Apartment
"€215,000","18 Harbour View, Balbriggan, Co. Dublin",2 Bed,2 Bath,60 m²,Apartment
"€525,000","18 Foxfield Grove, Blackbanks, Raheny, Dublin 5",3 Bed,2 Bath,115 m²,Semi-D
"€595,000","22 Brookwood Park, Artane, Dublin 5",3 Bed,1 Bath,102 m²,Semi-D
"€395,000","22 Finsbury Green, Churchtown Road Upper, D14TN97, Churchtown, Dublin 14",2 Bed,1 Bath,62 m²,Townhouse
"€325,000","180 Clifden Court, Ellis Quay, Dublin 7",2 Bed,1 Bath,N/A,Apartment
